Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Algeria,,,,,,,7.344359875,6.505380154,5.866350174,6.100359917
Angola,3.42132,3.243769884,3.278470039,3.872060061,2.930550098,3.486900091,2.754940033,2.466880083,2.044699907,1.821179986
Benin,3.67997,4.397880077,3.562020063,3.327510118,3.161789894,3.17298007,2.899100065,3.535589933,2.933969975,2.965199947
Botswana,,,,,,7.806519985,7.974820137,7.099999905,6.721330166,6.91437006
Burkina Faso,3.50223,3.985150099,3.603159904,4.083439827,4.053299904,3.67008996,,5.628469944,5.430560112,5.785480022
Burundi,6.77525,6.319250107,6.167860031,5.995359898,6.784520149,6.370540142,4.691999912,4.762020111,5.078649998,
Cabo Verde,5.56729,5.043610096,,5.001440048,4.963870049,5.266910076,5.288790226,5.181749821,5.368850231,4.733459949
Cameroon,2.99366,2.766769886,2.697180033,2.768019915,2.687129974,2.768049955,2.654230118,3.154819965,3.131200075,3.100500107
Central African Republic,1.11761,1.107920051,,,,1.910230041,1.754089952,1.75364995,1.565879941,1.768710017
Chad,1.98194,2.2579,2.206150055,2.850709915,2.599999905,2.400000095,2.299999952,2.454819918,2.25948,2.372459888
Comoros,,2.830450058,2.747839928,2.382760048,2.744729996,2.545059919,,,,
"Congo, Dem. Rep.",1.52498,,,2.062210083,1.951429963,2.170439959,2.118690014,1.454949975,,
"Congo, Rep.",5.68673,,,,3.183710098,3.282579899,5.20979023,4.442969799,3.001470089,3.898000002
Cote d'Ivoire,4.55346,4.137549877,4.654109955,4.729000092,4.577429771,3.494159937,3.97232008,3.80347991,3.239939928,3.700400114
Djibouti,4.49022,,,,,3.590240002,3.924390078,3.748559952,3.627739906,
"Egypt, Arab Rep.",3.54265,3.344300032,3.368299961,4.122529984,4.25138998,3.930850029,,,,
Equatorial Guinea,,,,,,,,,,
Eritrea,,,,,,,,,,
Eswatini,6.11837,6.864329815,,,7.070320129,5.355750084,5.414669991,6.138090134,5.679160118,5.645549774
Ethiopia,4.49659,5.485760212,5.56678009,4.498549938,4.602019787,4.737919807,5.061510086,5.64951992,5.06867981,
Gabon,3.07809,2.987459898,3.013400078,3.029710054,2.666670084,2.900000095,2.769999981,3.326809883,2.933459997,2.767829895
"Gambia, The",2.56322,2.50116992,2.637569904,1.818390012,2.230940104,2.160029888,2.024430037,2.459189892,2.365439892,2.875299931
Ghana,5.5406,8.14097023,7.919139862,4.576469898,4.660570145,4.612130165,4.528840065,3.627379894,4.004129887,
Guinea,2.55119,2.287420034,1.833709955,2.63421011,2.422810078,2.517139912,2.544500113,2.320339918,2.384320021,1.848369956
Guinea-Bissau,1.86082,1.857859969,2.001060009,2.13248992,2.200000048,2.299999952,2.299999952,2.200000048,2.137870073,2.947819948
Kenya,5.50822,5.335289955,5.509039879,5.411379814,5.280210018,5.271339893,5.362669945,5.366680145,5.306250095,4.97439003
Lesotho,,8.165100098,7.666059971,7.29226017,7.198599815,9,7.760749817,8.156889915,7.285359859,7.800149918
Liberia,,,1.777119994,1.734660029,2.279099941,2.170830011,2.14812994,2.76128006,2.584120035,2.270390034
Libya,,,,,,,,,,
Madagascar,2.75,2.381680012,2.340670109,1.776939988,2.381230116,2.210119963,2.687190056,2.836420059,2.874520063,2.944900036
Malawi,3.5398,4.152619839,,5.41617012,4.839839935,5.608660221,4.748569965,4.031330109,3.381939888,3.711319923
Mali,3.34389,3.754230022,3.479490042,3.284650087,3.648190022,3.801520109,3.094779968,3.789769888,3.882529974,3.438679934
Mauritania,,2.331020117,2.158210039,2.293540001,,,1.944059968,,,1.893730044
Mauritius,3.55147,3.332070112,3.418200016,3.61578989,4.916950226,4.886670113,5.013599873,5.02312994,4.834589958,4.719299793
Morocco,,,,,,,,,,
Mozambique,5.95293,6.260409832,5.672160149,6.115330219,6.876329899,6.010829926,5.865039825,5.505559921,5.452189922,6.229990005
Namibia,8.2433,7.397809982,7.793399811,7.466370106,7.452889919,9.913700104,10.65202999,9.759980202,8.988050461,9.480409622
Niger,2.72195,3.077620029,3.18682003,3.689529896,5.103680134,4.485899925,2.970959902,2.577159882,3.44698,3.523169994
Nigeria,,,,,,,,,,
Rwanda,4.63384,4.385980129,4.423520088,4.744919777,4.19878006,3.649159908,3.436729908,3.126460075,3.073750019,3.355459929
Sao Tome and Principe,9.65147,8.89109993,6.339509964,5.939690113,3.749059916,3.864599943,5.173039913,5.036369801,5.235109806,5.921549797
Senegal,5.21774,4.903029919,4.776989937,5.686560154,5.720210075,5.45637989,5.113090038,4.624969959,4.8582201,5.287199974
Seychelles,3.54826,3.606440067,2.613929987,3.608129978,4.083680153,4.222899914,4.421020031,3.677289963,4.498839855,3.914589882
Sierra Leone,2.58864,2.668900013,2.872040033,2.379810095,2.662919998,3.057290077,3.060230017,4.635769844,6.989630222,7.365429878
Somalia,,,,,,,,,,
South Africa,5.72174,5.881020069,6.077420235,5.864659786,5.99946022,5.956190109,5.942850113,6.113059998,6.158989906,6.505050182
South Sudan,,0.962890029,,1.024500012,1.232460022,1.465559959,1.543900013,,,
Sudan,,,,,,,,,,
Tanzania,4.5417,3.558290005,3.470930099,3.357959986,3.384880066,4.194869995,4.101970196,4.430510044,3.696439981,3.534980059
Togo,4.09635,4.309299946,4.719200134,4.423649788,4.78455019,5.10860014,3.686490059,3.760529995,4.043940067,4.969379902
Tunisia,6.25481,7.554369926,6.250360012,6.967450142,6.881869793,6.596000195,7.32434988,,,
Uganda,1.73485,2.308820009,1.805230021,1.879209995,1.922979951,2.331530094,2.147109985,2.263360023,2.130520105,2.649810076
Zambia,3.7,3.799999952,4.199999809,4.300000191,5.199999809,4.624330044,3.747920036,3.729640007,4.739739895,4.46517992
Zimbabwe,1.54406,,6.07020998,5.995979786,6.13835001,5.812789917,5.47262001,5.381060123,3.587280035,
